scenario	phase	verb	site	object	calls	total_ms	mean_us	p99_us	rows_touched	prepared_pct	per_input_row	runs	spread_us	floor_us
inserts_one_txn	materialize	INSERT	src/1b_state.rs:319	g	1	no effect at this scale	0.0	0.0	0	0.0	0.01	3	0.0	1000
inserts_one_txn	materialize	SELECT	src/1b_state.rs:329	g	1	no effect at this scale	0.0	0.0	1	0.0	0.01	3	0.0	1000
inserts_one_txn	materialize	SELECT	src/1b_state.rs:360	g	1	no effect at this scale	0.0	0.0	1	0.0	0.01	3	0.0	1000
inserts_one_txn	materialize	SELECT	src/1b_state.rs:372	g	1	no effect at this scale	0.0	0.0	0	0.0	0.01	3	0.0	1000
reach_small	declare	CREATE	src/1d_drain.rs:23	r	28	no effect at this scale	0.0	0.0	0	0.0	3.50	3	0.0	1000
reach_small	declare	INSERT	src/0a_catalog.rs:79	r	20	no effect at this scale	0.0	0.0	20	0.0	2.50	3	0.0	1000
reach_small	declare	SELECT	src/0a_catalog.rs:71	r	20	no effect at this scale	0.0	0.0	20	0.0	2.50	3	0.0	1000
reach_small	drain	INSERT	src/1d_drain.rs:53	r	16	no effect at this scale	0.0	0.0	16	100.0	2.00	3	0.0	1000
reach_small	materialize	INSERT	src/1c_materialize.rs:377	r	14	1.000	71.4	1000.0	48	100.0	1.75	3	1000.0	1000
reach_small	declare	CREATE	src/1b_state.rs:195	r	9	no effect at this scale	0.0	0.0	1	0.0	1.12	3	1000.0	1000
reach_small	declare	DELETE	src/1b_state.rs:205	r	9	no effect at this scale	0.0	0.0	0	0.0	1.12	3	0.0	1000
reach_small	drain	DELETE	src/1d_drain.rs:112	r	9	no effect at this scale	0.0	0.0	72	100.0	1.12	3	0.0	1000
reach_small	materialize	DELETE	src/1b_state.rs:249	r	9	no effect at this scale	0.0	0.0	0	0.0	1.12	3	0.0	1000
reach_small	drain	SELECT	src/1d_drain.rs:71	r	8	no effect at this scale	0.0	0.0	8	100.0	1.00	3	0.0	1000
reach_small	declare	SELECT	src/1b_state.rs:17	r	7	no effect at this scale	0.0	0.0	7	0.0	0.88	3	0.0	1000
reach_small	declare	CREATE	src/0a_catalog.rs:26	r	6	no effect at this scale	0.0	0.0	0	0.0	0.75	3	0.0	1000
reach_small	declare	CREATE	src/1a_relational.rs:270	r	6	no effect at this scale	0.0	0.0	0	0.0	0.75	3	0.0	1000
reach_small	declare	CREATE	src/1b_state.rs:82	r	6	no effect at this scale	0.0	0.0	0	0.0	0.75	3	0.0	1000
reach_small	declare	INSERT	src/0a_catalog.rs:62	r	6	no effect at this scale	0.0	0.0	6	0.0	0.75	3	0.0	1000
reach_small	fixpoint	SELECT	src/1d_drain.rs:223	r	5	no effect at this scale	0.0	0.0	5	100.0	0.62	3	0.0	1000
reach_small	declare	SELECT	src/1a_relational.rs:200	r	3	no effect at this scale	0.0	0.0	3	0.0	0.38	3	0.0	1000
reach_small	declare	CREATE	src/1b_state.rs:119	r	2	no effect at this scale	0.0	0.0	0	0.0	0.25	3	0.0	1000
reach_small	declare	CREATE	src/1b_state.rs:141	r	2	no effect at this scale	0.0	0.0	0	0.0	0.25	3	0.0	1000
