case	rows	batch	fanout	engine	repetition	state	source	metric	value	unit	unavailable_reason
pipeline	400	10	10	sqlite-ivm	1	right_support_move	receipt	stage	pipeline		
pipeline	400	10	10	sqlite-ivm	1	right_support_move	receipt	circuit	pipeline		
pipeline	400	10	10	sqlite-ivm	1	right_support_move	receipt	rows	400		
pipeline	400	10	10	sqlite-ivm	1	right_support_move	receipt	batch_size	10		
pipeline	400	10	10	sqlite-ivm	1	right_support_move	receipt	fanout	10		
pipeline	400	10	10	sqlite-ivm	1	third_side_move	receipt	affected_rows	1		
pipeline	400	10	10	sqlite-ivm	1	third_side_move	receipt	checksum	591b0d8a287188f02da75bd4b1b17d81519b5619552cef5fe60962313da9af7d		
pipeline	400	10	10	sqlite-ivm	1	third_side_move	receipt	event	mutation		
pipeline	400	10	10	sqlite-ivm	1	third_side_move	receipt	exact_input_output_validated	true		
pipeline	400	10	10	sqlite-ivm	1	third_side_move	receipt	input_hash	729f72482dd9fc35be8d31f8ce95ecdbb542e0b852bafd9a09a7876179f94f2b		
pipeline	400	10	10	sqlite-ivm	1	third_side_move	receipt	output_bytes	1528		
pipeline	400	10	10	sqlite-ivm	1	third_side_move	receipt	output_rows	226		
pipeline	400	10	10	sqlite-ivm	1	third_side_move	receipt	query_compute_ms	0.038292		
pipeline	400	10	10	sqlite-ivm	1	third_side_move	receipt	state	third_side_move		
pipeline	400	10	10	sqlite-ivm	1	third_side_move	receipt	status	ok		
pipeline	400	10	10	sqlite-ivm	1	third_side_move	receipt	update_plus_query_ms	0.11399999999999999		
pipeline	400	10	10	sqlite-ivm	1	third_side_move	receipt	update_transaction_ms	0.075708		
pipeline	400	10	10	sqlite-ivm	1	third_side_move	receipt	arm	sqlite-plugin-delta		
pipeline	400	10	10	sqlite-ivm	1	third_side_move	receipt	maintenance	sqlite-plugin-delta		
pipeline	400	10	10	sqlite-ivm	1	third_side_move	receipt	run_kind	measured		
pipeline	400	10	10	sqlite-ivm	1	third_side_move	receipt	repetition	1		
pipeline	400	10	10	sqlite-ivm	1	third_side_move	receipt	profile	circuits		
pipeline	400	10	10	sqlite-ivm	1	third_side_move	receipt	budget	constrained		
pipeline	400	10	10	sqlite-ivm	1	third_side_move	receipt	stage	pipeline		
pipeline	400	10	10	sqlite-ivm	1	third_side_move	receipt	circuit	pipeline		
pipeline	400	10	10	sqlite-ivm	1	third_side_move	receipt	rows	400		
pipeline	400	10	10	sqlite-ivm	1	third_side_move	receipt	batch_size	10		
pipeline	400	10	10	sqlite-ivm	1	third_side_move	receipt	fanout	10		
pipeline	400	10	10	sqlite-ivm	1	clear_roots	receipt	affected_rows	7		
pipeline	400	10	10	sqlite-ivm	1	clear_roots	receipt	checksum	591b0d8a287188f02da75bd4b1b17d81519b5619552cef5fe60962313da9af7d		
pipeline	400	10	10	sqlite-ivm	1	clear_roots	receipt	event	mutation		
pipeline	400	10	10	sqlite-ivm	1	clear_roots	receipt	exact_input_output_validated	true		
pipeline	400	10	10	sqlite-ivm	1	clear_roots	receipt	input_hash	737ef620a0a6cb51de68f0803bd2c16fcf063027b21acedec6421e33f723246a		
pipeline	400	10	10	sqlite-ivm	1	clear_roots	receipt	output_bytes	1528		
pipeline	400	10	10	sqlite-ivm	1	clear_roots	receipt	output_rows	226		
pipeline	400	10	10	sqlite-ivm	1	clear_roots	receipt	query_compute_ms	0.037791		
pipeline	400	10	10	sqlite-ivm	1	clear_roots	receipt	state	clear_roots		
pipeline	400	10	10	sqlite-ivm	1	clear_roots	receipt	status	ok		
pipeline	400	10	10	sqlite-ivm	1	clear_roots	receipt	update_plus_query_ms	0.122666		
